"Date","Time","Time (abs)","Actual Axle Torque (Value [Nm])","Steering Wheel Angle (Value [deg])","Vehicle Speed Average Driven (Value [km / h])"
2026-04-15,15-57-00,1680.551,124.0,-451.88,4.91
2026-04-15,15-57-00,1680.561,124.0,-451.81,4.91
2026-04-15,15-57-00,1680.571,124.0,-451.81,4.91
2026-04-15,15-57-00,1680.581,124.0,-451.81,4.91
2026-04-15,15-57-00,1680.591,124.0,-451.81,4.91
2026-04-15,15-57-00,1680.601,124.0,-451.75,4.95
2026-04-15,15-57-00,1680.611,124.0,-451.81,4.95
2026-04-15,15-57-00,1680.621,124.0,-451.81,4.95
2026-04-15,15-57-00,1680.631,124.0,-451.81,4.95
2026-04-15,15-57-00,1680.641,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.651,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.661,124.0,-451.75,4.95
2026-04-15,15-57-01,1680.671,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.681,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.691,124.0,-451.75,4.95
2026-04-15,15-57-01,1680.701,124.0,-451.75,4.95
2026-04-15,15-57-01,1680.711,124.0,-451.81,4.92
2026-04-15,15-57-01,1680.721,124.0,-451.81,4.92
2026-04-15,15-57-01,1680.731,124.0,-451.81,4.92
2026-04-15,15-57-01,1680.741,124.0,-451.75,4.92
2026-04-15,15-57-01,1680.752,124.0,-451.75,4.92
2026-04-15,15-57-01,1680.762,124.0,-451.81,4.92
2026-04-15,15-57-01,1680.772,124.0,-451.75,4.92
2026-04-15,15-57-01,1680.782,124.0,-451.81,4.92
2026-04-15,15-57-01,1680.792,124.0,-451.75,4.92
2026-04-15,15-57-01,1680.802,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.812,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.822,124.0,-451.75,4.95
2026-04-15,15-57-01,1680.832,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.842,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.852,124.0,-451.75,4.95
2026-04-15,15-57-01,1680.862,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.872,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.882,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.892,124.0,-451.81,4.95
2026-04-15,15-57-01,1680.902,124.0,-451.75,4.97
2026-04-15,15-57-01,1680.912,124.0,-451.81,4.97
2026-04-15,15-57-01,1680.922,124.0,-451.81,4.97
2026-04-15,15-57-01,1680.932,124.0,-451.81,4.97
2026-04-15,15-57-01,1680.942,124.0,-451.81,4.97
2026-04-15,15-57-01,1680.952,124.0,-451.81,4.97
2026-04-15,15-57-01,1680.962,124.0,-451.81,4.97
2026-04-15,15-57-01,1680.972,124.0,-451.81,4.97
2026-04-15,15-57-01,1680.982,124.0,-451.81,4.97
2026-04-15,15-57-01,1680.992,124.0,-451.81,4.97
2026-04-15,15-57-01,1681.002,124.0,-451.81,4.95
2026-04-15,15-57-01,1681.012,124.0,-451.81,4.95
2026-04-15,15-57-01,1681.022,124.0,-451.81,4.95
2026-04-15,15-57-01,1681.032,124.0,-451.75,4.95
2026-04-15,15-57-01,1681.042,124.0,-451.81,4.95
2026-04-15,15-57-01,1681.052,124.0,-451.81,4.95
2026-04-15,15-57-01,1681.062,124.0,-451.81,4.95
2026-04-15,15-57-01,1681.072,124.0,-451.81,4.95
2026-04-15,15-57-01,1681.082,124.0,-451.81,4.95
2026-04-15,15-57-01,1681.092,124.0,-451.81,4.95
2026-04-15,15-57-01,1681.103,124.0,-451.75,5.00
2026-04-15,15-57-01,1681.113,124.0,-451.75,5.00
2026-04-15,15-57-01,1681.123,124.0,-451.81,5.00
2026-04-15,15-57-01,1681.133,124.0,-451.81,5.00
2026-04-15,15-57-01,1681.143,124.0,-451.81,5.00
2026-04-15,15-57-01,1681.153,124.0,-451.81,5.00
2026-04-15,15-57-01,1681.163,124.0,-451.81,5.00
2026-04-15,15-57-01,1681.173,124.0,-451.81,5.00
2026-04-15,15-57-01,1681.183,124.0,-451.81,5.00
2026-04-15,15-57-01,1681.193,124.0,-451.75,5.00
2026-04-15,15-57-01,1681.203,124.0,-451.81,5.02
2026-04-15,15-57-01,1681.214,124.0,-451.81,5.02
2026-04-15,15-57-01,1681.224,124.0,-451.81,5.02
2026-04-15,15-57-01,1681.234,124.0,-451.81,5.02
2026-04-15,15-57-01,1681.244,124.0,-451.81,5.02
2026-04-15,15-57-01,1681.254,124.0,-451.81,5.02
