"Date","Time","Time (abs)","Actual Axle Torque (Value [Nm])","Steering Wheel Angle (Value [deg])","Vehicle Speed Average Driven (Value [km / h])"
2026-04-15,15-58-09,1749.187,194.0,-269.38,7.81
2026-04-15,15-58-09,1749.197,194.0,-269.44,7.81
2026-04-15,15-58-09,1749.207,194.0,-269.44,7.81
2026-04-15,15-58-09,1749.217,194.0,-269.44,7.81
2026-04-15,15-58-09,1749.227,194.0,-269.50,7.81
2026-04-15,15-58-09,1749.237,194.0,-269.44,7.81
2026-04-15,15-58-09,1749.247,194.0,-269.44,7.81
2026-04-15,15-58-09,1749.257,194.0,-269.44,7.81
2026-04-15,15-58-09,1749.267,190.0,-269.44,7.81
2026-04-15,15-58-09,1749.277,186.0,-269.44,7.81
2026-04-15,15-58-09,1749.287,180.0,-269.44,7.81
2026-04-15,15-58-09,1749.297,180.0,-269.44,7.81
2026-04-15,15-58-09,1749.307,176.0,-269.38,7.89
2026-04-15,15-58-09,1749.317,172.0,-269.44,7.89
2026-04-15,15-58-09,1749.327,168.0,-269.44,7.89
2026-04-15,15-58-09,1749.337,168.0,-269.38,7.89
2026-04-15,15-58-09,1749.347,166.0,-269.44,7.89
2026-04-15,15-58-09,1749.357,164.0,-269.44,7.89
2026-04-15,15-58-09,1749.367,164.0,-269.44,7.89
2026-04-15,15-58-09,1749.378,164.0,-269.44,7.89
2026-04-15,15-58-09,1749.388,164.0,-269.38,7.89
2026-04-15,15-58-09,1749.398,162.0,-269.38,7.89
2026-04-15,15-58-09,1749.408,162.0,-269.44,7.89
2026-04-15,15-58-09,1749.418,162.0,-269.38,7.91
2026-04-15,15-58-09,1749.428,162.0,-269.38,7.91
2026-04-15,15-58-09,1749.438,162.0,-269.25,7.91
2026-04-15,15-58-09,1749.448,162.0,-269.19,7.91
2026-04-15,15-58-09,1749.458,162.0,-269.25,7.91
2026-04-15,15-58-09,1749.468,162.0,-269.25,7.91
2026-04-15,15-58-09,1749.478,162.0,-269.25,7.91
2026-04-15,15-58-09,1749.488,162.0,-269.25,7.91
2026-04-15,15-58-09,1749.498,162.0,-269.25,7.91
2026-04-15,15-58-09,1749.508,162.0,-269.25,7.91
2026-04-15,15-58-09,1749.518,162.0,-269.25,7.97
2026-04-15,15-58-09,1749.528,162.0,-269.25,7.97
2026-04-15,15-58-09,1749.538,162.0,-269.31,7.97
2026-04-15,15-58-09,1749.548,162.0,-269.31,7.97
2026-04-15,15-58-09,1749.558,162.0,-269.19,7.97
2026-04-15,15-58-09,1749.568,162.0,-269.25,7.97
2026-04-15,15-58-09,1749.578,162.0,-269.19,7.97
2026-04-15,15-58-09,1749.588,158.0,-269.19,7.97
2026-04-15,15-58-09,1749.598,158.0,-269.25,7.97
2026-04-15,15-58-09,1749.608,148.0,-269.25,7.97
2026-04-15,15-58-09,1749.618,146.0,-269.19,7.97
2026-04-15,15-58-09,1749.628,144.0,-269.25,7.97
2026-04-15,15-58-09,1749.638,144.0,-269.25,7.97
2026-04-15,15-58-10,1749.648,144.0,-269.25,7.97
2026-04-15,15-58-10,1749.658,144.0,-269.19,7.97
2026-04-15,15-58-10,1749.668,140.0,-269.31,7.97
2026-04-15,15-58-10,1749.679,140.0,-269.19,7.97
2026-04-15,15-58-10,1749.689,140.0,-269.19,7.97
2026-04-15,15-58-10,1749.699,140.0,-269.25,7.97
2026-04-15,15-58-10,1749.709,140.0,-269.25,7.97
2026-04-15,15-58-10,1749.719,140.0,-269.25,7.97
2026-04-15,15-58-10,1749.729,140.0,-269.25,7.97
2026-04-15,15-58-10,1749.739,140.0,-269.19,7.97
2026-04-15,15-58-10,1749.749,140.0,-269.19,7.97
2026-04-15,15-58-10,1749.759,140.0,-269.25,7.97
2026-04-15,15-58-10,1749.769,140.0,-269.25,7.97
2026-04-15,15-58-10,1749.779,140.0,-269.25,7.97
2026-04-15,15-58-10,1749.789,140.0,-269.19,7.97
2026-04-15,15-58-10,1749.799,140.0,-269.31,7.97
2026-04-15,15-58-10,1749.809,140.0,-269.19,8.00
2026-04-15,15-58-10,1749.819,140.0,-269.25,8.00
2026-04-15,15-58-10,1749.829,140.0,-269.31,8.00
2026-04-15,15-58-10,1749.839,140.0,-269.25,8.00
2026-04-15,15-58-10,1749.849,140.0,-269.25,8.00
2026-04-15,15-58-10,1749.859,140.0,-269.25,8.00
2026-04-15,15-58-10,1749.869,140.0,-269.19,8.00
2026-04-15,15-58-10,1749.88,140.0,-269.25,8.00
2026-04-15,15-58-10,1749.89,140.0,-269.25,8.00
2026-04-15,15-58-10,1749.9,140.0,-269.25,8.00
2026-04-15,15-58-10,1749.91,140.0,-269.25,8.05
2026-04-15,15-58-10,1749.92,140.0,-269.25,8.05
2026-04-15,15-58-10,1749.93,140.0,-269.19,8.05
2026-04-15,15-58-10,1749.94,140.0,-269.25,8.05
2026-04-15,15-58-10,1749.95,140.0,-269.19,8.05
2026-04-15,15-58-10,1749.96,140.0,-269.25,8.05
2026-04-15,15-58-10,1749.97,140.0,-269.25,8.05
2026-04-15,15-58-10,1749.98,140.0,-269.25,8.05
2026-04-15,15-58-10,1749.99,140.0,-269.25,8.05
2026-04-15,15-58-10,1750,140.0,-269.25,8.05
2026-04-15,15-58-10,1750.01,140.0,-269.25,8.05
2026-04-15,15-58-10,1750.02,140.0,-269.25,8.05
2026-04-15,15-58-10,1750.03,140.0,-269.25,8.05
2026-04-15,15-58-10,1750.04,140.0,-269.25,8.05
2026-04-15,15-58-10,1750.05,140.0,-269.19,8.05
2026-04-15,15-58-10,1750.06,140.0,-269.25,8.05
2026-04-15,15-58-10,1750.07,140.0,-269.31,8.05
2026-04-15,15-58-10,1750.08,140.0,-269.25,8.05
2026-04-15,15-58-10,1750.09,140.0,-269.25,8.05
2026-04-15,15-58-10,1750.1,140.0,-269.25,8.05
2026-04-15,15-58-10,1750.11,140.0,-269.25,8.08
2026-04-15,15-58-10,1750.12,140.0,-269.31,8.08
2026-04-15,15-58-10,1750.13,140.0,-269.25,8.08
2026-04-15,15-58-10,1750.14,140.0,-269.25,8.08
2026-04-15,15-58-10,1750.15,140.0,-269.31,8.08
2026-04-15,15-58-10,1750.16,140.0,-269.25,8.08
2026-04-15,15-58-10,1750.17,140.0,-269.31,8.08
2026-04-15,15-58-10,1750.18,140.0,-269.25,8.08
2026-04-15,15-58-10,1750.19,140.0,-269.31,8.08
2026-04-15,15-58-10,1750.2,140.0,-269.31,8.08
2026-04-15,15-58-10,1750.21,140.0,-269.19,8.12
2026-04-15,15-58-10,1750.22,140.0,-269.38,8.12
2026-04-15,15-58-10,1750.23,140.0,-269.25,8.12
2026-04-15,15-58-10,1750.24,140.0,-269.31,8.12
2026-04-15,15-58-10,1750.25,140.0,-269.31,8.12
2026-04-15,15-58-10,1750.26,140.0,-269.31,8.12
2026-04-15,15-58-10,1750.27,140.0,-269.25,8.12
2026-04-15,15-58-10,1750.28,140.0,-269.38,8.12
2026-04-15,15-58-10,1750.29,140.0,-269.25,8.12
2026-04-15,15-58-10,1750.3,140.0,-269.31,8.12
2026-04-15,15-58-10,1750.31,140.0,-269.31,8.12
2026-04-15,15-58-10,1750.32,140.0,-269.31,8.12
2026-04-15,15-58-10,1750.33,140.0,-269.25,8.12
2026-04-15,15-58-10,1750.34,140.0,-269.25,8.12
2026-04-15,15-58-10,1750.35,140.0,-269.31,8.12
2026-04-15,15-58-10,1750.36,140.0,-269.25,8.12
2026-04-15,15-58-10,1750.37,140.0,-269.31,8.12
2026-04-15,15-58-10,1750.38,140.0,-269.25,8.12
2026-04-15,15-58-10,1750.39,140.0,-269.25,8.12
2026-04-15,15-58-10,1750.4,140.0,-269.31,8.12
2026-04-15,15-58-10,1750.41,140.0,-269.25,8.16
2026-04-15,15-58-10,1750.42,140.0,-269.19,8.16
2026-04-15,15-58-10,1750.43,140.0,-269.31,8.16
2026-04-15,15-58-10,1750.44,140.0,-269.25,8.16
2026-04-15,15-58-10,1750.45,140.0,-269.31,8.16
2026-04-15,15-58-10,1750.46,140.0,-269.31,8.16
2026-04-15,15-58-10,1750.47,140.0,-269.25,8.16
2026-04-15,15-58-10,1750.48,140.0,-269.31,8.16
2026-04-15,15-58-10,1750.49,140.0,-269.31,8.16
