"Date","Time","Time (abs)","Actual Axle Torque (Value [Nm])","Steering Wheel Angle (Value [deg])","Vehicle Speed Average Driven (Value [km / h])"
2026-04-15,16-01-51,1970.834,2.0,-0.69,5.11
2026-04-15,16-01-51,1970.844,2.0,-0.75,5.11
2026-04-15,16-01-51,1970.854,2.0,-0.75,5.11
2026-04-15,16-01-51,1970.864,2.0,-0.69,5.11
2026-04-15,16-01-51,1970.874,2.0,-0.75,5.11
2026-04-15,16-01-51,1970.884,2.0,-0.75,5.11
2026-04-15,16-01-51,1970.894,2.0,-0.75,5.11
2026-04-15,16-01-51,1970.904,2.0,-0.75,5.11
2026-04-15,16-01-51,1970.914,2.0,-0.62,5.11
2026-04-15,16-01-51,1970.924,2.0,-0.69,5.11
2026-04-15,16-01-51,1970.934,2.0,-0.62,5.11
2026-04-15,16-01-51,1970.944,2.0,-0.69,5.11
2026-04-15,16-01-51,1970.954,2.0,-0.75,5.11
2026-04-15,16-01-51,1970.964,2.0,-0.69,5.11
2026-04-15,16-01-51,1970.974,2.0,-0.69,5.11
2026-04-15,16-01-51,1970.985,2.0,-0.69,5.11
2026-04-15,16-01-51,1970.996,2.0,-0.69,5.11
2026-04-15,16-01-51,1971.006,2.0,-0.69,5.11
2026-04-15,16-01-51,1971.016,2.0,-0.75,5.11
2026-04-15,16-01-51,1971.026,2.0,-0.69,5.11
2026-04-15,16-01-51,1971.036,2.0,-0.75,5.12
2026-04-15,16-01-51,1971.046,2.0,-0.69,5.12
2026-04-15,16-01-51,1971.056,2.0,-0.75,5.12
2026-04-15,16-01-51,1971.066,2.0,-0.69,5.12
2026-04-15,16-01-51,1971.076,2.0,-0.69,5.12
2026-04-15,16-01-51,1971.086,2.0,-0.69,5.12
2026-04-15,16-01-51,1971.096,2.0,-0.75,5.12
2026-04-15,16-01-51,1971.106,2.0,-0.75,5.12
2026-04-15,16-01-51,1971.116,2.0,-0.62,5.12
2026-04-15,16-01-51,1971.126,6.0,-0.69,5.12
2026-04-15,16-01-51,1971.136,6.0,-0.62,5.12
2026-04-15,16-01-51,1971.146,6.0,-0.62,5.12
2026-04-15,16-01-51,1971.156,6.0,-0.75,5.12
2026-04-15,16-01-51,1971.166,6.0,-0.81,5.12
2026-04-15,16-01-51,1971.176,8.0,-0.69,5.12
2026-04-15,16-01-51,1971.186,8.0,-0.81,5.12
2026-04-15,16-01-51,1971.196,8.0,-0.81,5.12
2026-04-15,16-01-51,1971.206,8.0,-0.75,5.12
2026-04-15,16-01-51,1971.216,8.0,-0.75,5.12
2026-04-15,16-01-51,1971.226,8.0,-0.75,5.12
2026-04-15,16-01-51,1971.236,8.0,-0.62,5.11
2026-04-15,16-01-51,1971.246,8.0,-0.69,5.11
2026-04-15,16-01-51,1971.256,8.0,-0.69,5.11
2026-04-15,16-01-51,1971.266,8.0,-0.69,5.11
2026-04-15,16-01-51,1971.276,8.0,-0.69,5.11
2026-04-15,16-01-51,1971.286,8.0,-0.75,5.11
2026-04-15,16-01-51,1971.296,8.0,-0.75,5.11
2026-04-15,16-01-51,1971.306,8.0,-0.75,5.11
2026-04-15,16-01-51,1971.316,8.0,-0.69,5.11
2026-04-15,16-01-51,1971.326,8.0,-0.69,5.11
2026-04-15,16-01-51,1971.336,8.0,-0.75,5.11
2026-04-15,16-01-51,1971.346,10.0,-0.69,5.11
2026-04-15,16-01-51,1971.356,10.0,-0.69,5.11
2026-04-15,16-01-51,1971.366,10.0,-0.69,5.11
2026-04-15,16-01-51,1971.376,10.0,-0.75,5.11
2026-04-15,16-01-51,1971.386,10.0,-0.75,5.11
2026-04-15,16-01-51,1971.396,10.0,-0.75,5.11
2026-04-15,16-01-51,1971.406,10.0,-0.75,5.11
2026-04-15,16-01-51,1971.416,10.0,-0.75,5.11
2026-04-15,16-01-51,1971.426,10.0,-0.69,5.11
2026-04-15,16-01-51,1971.436,10.0,-0.62,5.11
2026-04-15,16-01-51,1971.446,10.0,-0.75,5.11
2026-04-15,16-01-51,1971.456,12.0,-0.75,5.11
2026-04-15,16-01-51,1971.466,14.0,-0.75,5.11
2026-04-15,16-01-51,1971.476,22.0,-0.81,5.11
2026-04-15,16-01-51,1971.486,28.0,-0.62,5.11
2026-04-15,16-01-51,1971.496,28.0,-0.62,5.11
2026-04-15,16-01-51,1971.506,28.0,-0.62,5.11
2026-04-15,16-01-51,1971.516,28.0,-0.81,5.11
2026-04-15,16-01-51,1971.526,28.0,-0.69,5.11
2026-04-15,16-01-51,1971.536,28.0,-0.75,5.17
2026-04-15,16-01-51,1971.546,28.0,-0.69,5.17
2026-04-15,16-01-51,1971.556,28.0,-0.69,5.17
2026-04-15,16-01-51,1971.566,28.0,-0.69,5.17
2026-04-15,16-01-51,1971.576,28.0,-0.75,5.17
2026-04-15,16-01-51,1971.586,28.0,-0.75,5.17
2026-04-15,16-01-51,1971.596,28.0,-0.69,5.17
2026-04-15,16-01-51,1971.606,28.0,-0.62,5.17
2026-04-15,16-01-51,1971.616,28.0,-0.75,5.17
2026-04-15,16-01-51,1971.626,28.0,-0.75,5.17
2026-04-15,16-01-51,1971.636,30.0,-0.62,5.12
2026-04-15,16-01-51,1971.646,30.0,-0.75,5.12
2026-04-15,16-01-52,1971.656,30.0,-0.75,5.12
2026-04-15,16-01-52,1971.666,30.0,-0.69,5.12
2026-04-15,16-01-52,1971.676,30.0,-0.75,5.12
2026-04-15,16-01-52,1971.686,30.0,-0.81,5.12
2026-04-15,16-01-52,1971.696,30.0,-0.81,5.12
2026-04-15,16-01-52,1971.706,30.0,-0.69,5.12
2026-04-15,16-01-52,1971.716,30.0,-0.75,5.12
2026-04-15,16-01-52,1971.726,30.0,-0.88,5.12
2026-04-15,16-01-52,1971.736,30.0,-0.69,5.12
2026-04-15,16-01-52,1971.746,30.0,-0.69,5.12
2026-04-15,16-01-52,1971.756,30.0,-0.81,5.12
2026-04-15,16-01-52,1971.766,30.0,-0.75,5.12
2026-04-15,16-01-52,1971.776,30.0,-0.69,5.12
2026-04-15,16-01-52,1971.786,30.0,-0.75,5.12
2026-04-15,16-01-52,1971.796,30.0,-0.75,5.12
2026-04-15,16-01-52,1971.806,30.0,-0.75,5.12
2026-04-15,16-01-52,1971.816,30.0,-0.69,5.12
2026-04-15,16-01-52,1971.826,30.0,-0.75,5.12
2026-04-15,16-01-52,1971.836,30.0,-0.62,5.16
2026-04-15,16-01-52,1971.846,30.0,-0.69,5.16
2026-04-15,16-01-52,1971.856,30.0,-0.69,5.16
2026-04-15,16-01-52,1971.867,30.0,-0.81,5.16
2026-04-15,16-01-52,1971.877,30.0,-0.69,5.16
2026-04-15,16-01-52,1971.887,30.0,-0.81,5.16
2026-04-15,16-01-52,1971.897,30.0,-0.81,5.16
2026-04-15,16-01-52,1971.907,30.0,-0.69,5.16
2026-04-15,16-01-52,1971.917,30.0,-0.69,5.16
2026-04-15,16-01-52,1971.927,30.0,-0.75,5.16
2026-04-15,16-01-52,1971.937,30.0,-0.81,5.14
2026-04-15,16-01-52,1971.947,30.0,-0.75,5.14
2026-04-15,16-01-52,1971.957,30.0,-0.75,5.14
2026-04-15,16-01-52,1971.967,30.0,-0.69,5.14
2026-04-15,16-01-52,1971.977,30.0,-0.69,5.14
2026-04-15,16-01-52,1971.987,30.0,-0.75,5.14
2026-04-15,16-01-52,1971.997,30.0,-0.75,5.14
2026-04-15,16-01-52,1972.007,30.0,-0.69,5.14
2026-04-15,16-01-52,1972.017,30.0,-0.75,5.14
2026-04-15,16-01-52,1972.027,30.0,-0.75,5.14
2026-04-15,16-01-52,1972.037,30.0,-0.81,5.16
2026-04-15,16-01-52,1972.047,30.0,-0.75,5.16
2026-04-15,16-01-52,1972.057,30.0,-0.81,5.16
2026-04-15,16-01-52,1972.069,30.0,-0.81,5.16
2026-04-15,16-01-52,1972.079,30.0,-0.62,5.16
2026-04-15,16-01-52,1972.089,30.0,-0.69,5.16
2026-04-15,16-01-52,1972.099,30.0,-0.69,5.16
2026-04-15,16-01-52,1972.109,30.0,-0.69,5.16
2026-04-15,16-01-52,1972.119,30.0,-0.81,5.16
2026-04-15,16-01-52,1972.129,30.0,-0.81,5.16
2026-04-15,16-01-52,1972.139,30.0,-0.69,5.16
2026-04-15,16-01-52,1972.149,30.0,-0.69,5.16
2026-04-15,16-01-52,1972.159,30.0,-0.69,5.16
2026-04-15,16-01-52,1972.169,30.0,-0.81,5.16
2026-04-15,16-01-52,1972.179,30.0,-0.75,5.16
2026-04-15,16-01-52,1972.189,30.0,-0.62,5.16
2026-04-15,16-01-52,1972.199,30.0,-0.75,5.16
2026-04-15,16-01-52,1972.209,30.0,-0.75,5.16
2026-04-15,16-01-52,1972.219,30.0,-0.69,5.16
2026-04-15,16-01-52,1972.229,30.0,-0.75,5.16
2026-04-15,16-01-52,1972.239,30.0,-0.75,5.17
2026-04-15,16-01-52,1972.249,30.0,-0.75,5.17
2026-04-15,16-01-52,1972.26,30.0,-0.69,5.17
2026-04-15,16-01-52,1972.27,30.0,-0.62,5.17
2026-04-15,16-01-52,1972.28,30.0,-0.75,5.17
2026-04-15,16-01-52,1972.29,30.0,-0.75,5.17
2026-04-15,16-01-52,1972.301,30.0,-0.69,5.17
2026-04-15,16-01-52,1972.311,30.0,-0.75,5.17
2026-04-15,16-01-52,1972.321,32.0,-0.75,5.17
2026-04-15,16-01-52,1972.331,32.0,-0.75,5.17
2026-04-15,16-01-52,1972.341,32.0,-0.69,5.17
2026-04-15,16-01-52,1972.351,32.0,-0.69,5.17
2026-04-15,16-01-52,1972.361,32.0,-0.62,5.17
2026-04-15,16-01-52,1972.371,32.0,-0.75,5.17
2026-04-15,16-01-52,1972.381,32.0,-0.69,5.17
2026-04-15,16-01-52,1972.391,32.0,-0.69,5.17
2026-04-15,16-01-52,1972.401,34.0,-0.75,5.17
2026-04-15,16-01-52,1972.411,34.0,-0.69,5.17
2026-04-15,16-01-52,1972.421,34.0,-0.75,5.17
2026-04-15,16-01-52,1972.431,34.0,-0.75,5.17
2026-04-15,16-01-52,1972.441,34.0,-0.81,5.17
2026-04-15,16-01-52,1972.451,34.0,-0.81,5.17
2026-04-15,16-01-52,1972.461,34.0,-0.69,5.17
2026-04-15,16-01-52,1972.471,34.0,-0.69,5.17
2026-04-15,16-01-52,1972.481,34.0,-0.81,5.17
2026-04-15,16-01-52,1972.491,34.0,-0.69,5.17
2026-04-15,16-01-52,1972.501,34.0,-0.62,5.17
2026-04-15,16-01-52,1972.512,34.0,-0.69,5.17
2026-04-15,16-01-52,1972.522,34.0,-0.62,5.17
2026-04-15,16-01-52,1972.532,34.0,-0.62,5.17
2026-04-15,16-01-52,1972.542,34.0,-0.81,5.20
2026-04-15,16-01-52,1972.552,34.0,-0.81,5.20
2026-04-15,16-01-52,1972.562,34.0,-0.75,5.20
2026-04-15,16-01-52,1972.572,34.0,-0.69,5.20
2026-04-15,16-01-52,1972.582,34.0,-0.75,5.20
2026-04-15,16-01-52,1972.592,34.0,-0.75,5.20
