"Date","Time","Time (abs)","Actual Axle Torque (Value [Nm])","Steering Wheel Angle (Value [deg])","Vehicle Speed Average Driven (Value [km / h])"
2026-04-15,15-34-59,359.614,376.0,2.06,10.53
2026-04-15,15-34-59,359.624,356.0,2.00,10.53
2026-04-15,15-34-59,359.634,336.0,2.00,10.53
2026-04-15,15-34-59,359.644,336.0,1.94,10.53
2026-04-15,15-35-00,359.654,310.0,2.06,10.53
2026-04-15,15-35-00,359.664,284.0,2.00,10.53
2026-04-15,15-35-00,359.674,284.0,2.00,10.53
2026-04-15,15-35-00,359.684,258.0,2.00,10.67
2026-04-15,15-35-00,359.694,234.0,1.94,10.67
2026-04-15,15-35-00,359.704,216.0,2.00,10.67
2026-04-15,15-35-00,359.714,208.0,2.06,10.67
2026-04-15,15-35-00,359.724,208.0,2.00,10.67
2026-04-15,15-35-00,359.734,208.0,2.00,10.67
2026-04-15,15-35-00,359.744,208.0,2.06,10.67
2026-04-15,15-35-00,359.754,208.0,2.06,10.67
2026-04-15,15-35-00,359.764,208.0,2.06,10.67
2026-04-15,15-35-00,359.774,208.0,2.06,10.67
2026-04-15,15-35-00,359.784,208.0,2.06,10.77
2026-04-15,15-35-00,359.794,208.0,2.06,10.77
2026-04-15,15-35-00,359.804,208.0,2.06,10.77
2026-04-15,15-35-00,359.814,208.0,2.06,10.77
2026-04-15,15-35-00,359.824,208.0,2.06,10.77
2026-04-15,15-35-00,359.834,208.0,2.06,10.77
2026-04-15,15-35-00,359.844,208.0,2.12,10.77
2026-04-15,15-35-00,359.854,208.0,2.06,10.77
2026-04-15,15-35-00,359.864,208.0,2.12,10.77
2026-04-15,15-35-00,359.874,208.0,2.12,10.77
2026-04-15,15-35-00,359.884,208.0,2.06,10.83
2026-04-15,15-35-00,359.894,208.0,2.00,10.83
2026-04-15,15-35-00,359.905,208.0,2.12,10.83
2026-04-15,15-35-00,359.915,208.0,2.12,10.83
2026-04-15,15-35-00,359.925,208.0,2.06,10.83
2026-04-15,15-35-00,359.935,208.0,2.12,10.83
2026-04-15,15-35-00,359.945,208.0,2.12,10.83
2026-04-15,15-35-00,359.955,208.0,2.12,10.83
2026-04-15,15-35-00,359.966,208.0,2.06,10.83
2026-04-15,15-35-00,359.976,208.0,2.06,10.83
2026-04-15,15-35-00,359.986,208.0,2.19,10.84
2026-04-15,15-35-00,359.996,208.0,2.12,10.84
2026-04-15,15-35-00,360.006,208.0,2.12,10.84
2026-04-15,15-35-00,360.016,208.0,2.19,10.84
2026-04-15,15-35-00,360.026,218.0,2.12,10.84
2026-04-15,15-35-00,360.036,218.0,2.12,10.84
2026-04-15,15-35-00,360.046,218.0,2.12,10.84
2026-04-15,15-35-00,360.056,218.0,2.12,10.84
2026-04-15,15-35-00,360.066,218.0,2.12,10.84
2026-04-15,15-35-00,360.076,218.0,2.12,10.84
2026-04-15,15-35-00,360.086,218.0,2.19,10.89
2026-04-15,15-35-00,360.096,218.0,2.12,10.89
2026-04-15,15-35-00,360.106,218.0,2.06,10.89
2026-04-15,15-35-00,360.116,218.0,2.12,10.89
2026-04-15,15-35-00,360.126,218.0,2.12,10.89
2026-04-15,15-35-00,360.136,218.0,2.12,10.89
2026-04-15,15-35-00,360.146,218.0,2.12,10.89
2026-04-15,15-35-00,360.156,218.0,2.12,10.89
2026-04-15,15-35-00,360.166,218.0,2.06,10.89
2026-04-15,15-35-00,360.176,218.0,2.06,10.89
2026-04-15,15-35-00,360.186,218.0,2.12,10.94
2026-04-15,15-35-00,360.196,218.0,2.12,10.94
2026-04-15,15-35-00,360.206,218.0,2.12,10.94
2026-04-15,15-35-00,360.216,218.0,2.12,10.94
2026-04-15,15-35-00,360.226,218.0,2.12,10.94
2026-04-15,15-35-00,360.236,218.0,2.12,10.94
2026-04-15,15-35-00,360.246,218.0,2.06,10.94
2026-04-15,15-35-00,360.256,218.0,2.06,10.94
2026-04-15,15-35-00,360.266,218.0,2.19,10.94
2026-04-15,15-35-00,360.276,218.0,2.19,10.94
2026-04-15,15-35-00,360.286,218.0,2.12,10.92
2026-04-15,15-35-00,360.296,218.0,2.12,10.92
2026-04-15,15-35-00,360.306,218.0,2.06,10.92
2026-04-15,15-35-00,360.316,218.0,2.06,10.92
2026-04-15,15-35-00,360.326,218.0,2.12,10.92
2026-04-15,15-35-00,360.336,218.0,2.12,10.92
2026-04-15,15-35-00,360.346,218.0,2.06,10.92
2026-04-15,15-35-00,360.356,218.0,2.06,10.92
2026-04-15,15-35-00,360.366,218.0,2.12,10.92
2026-04-15,15-35-00,360.376,218.0,2.12,10.92
2026-04-15,15-35-00,360.386,218.0,2.12,10.92
2026-04-15,15-35-00,360.396,218.0,2.19,10.98
2026-04-15,15-35-00,360.406,218.0,2.06,10.98
2026-04-15,15-35-00,360.416,218.0,2.12,10.98
