"Date","Time","Time (abs)","Actual Axle Torque (Value [Nm])","Steering Wheel Angle (Value [deg])","Vehicle Speed Average Driven (Value [km / h])"
2026-04-15,16-06-20,2240.001,42.0,-3.50,14.66
2026-04-15,16-06-20,2240.011,42.0,-3.44,14.66
2026-04-15,16-06-20,2240.021,42.0,-3.50,14.66
2026-04-15,16-06-20,2240.031,42.0,-3.50,14.66
2026-04-15,16-06-20,2240.041,42.0,-3.50,14.66
2026-04-15,16-06-20,2240.051,42.0,-3.50,14.66
2026-04-15,16-06-20,2240.061,42.0,-3.50,14.70
2026-04-15,16-06-20,2240.071,42.0,-3.50,14.70
2026-04-15,16-06-20,2240.081,42.0,-3.44,14.70
2026-04-15,16-06-20,2240.091,42.0,-3.50,14.70
2026-04-15,16-06-20,2240.101,42.0,-3.50,14.70
2026-04-15,16-06-20,2240.111,42.0,-3.50,14.70
2026-04-15,16-06-20,2240.122,42.0,-3.44,14.70
2026-04-15,16-06-20,2240.132,42.0,-3.50,14.70
2026-04-15,16-06-20,2240.142,42.0,-3.44,14.70
2026-04-15,16-06-20,2240.152,42.0,-3.44,14.70
2026-04-15,16-06-20,2240.162,42.0,-3.50,14.73
2026-04-15,16-06-20,2240.172,42.0,-3.50,14.73
2026-04-15,16-06-20,2240.182,42.0,-3.50,14.73
2026-04-15,16-06-20,2240.192,42.0,-3.50,14.73
2026-04-15,16-06-20,2240.202,42.0,-3.50,14.73
2026-04-15,16-06-20,2240.212,42.0,-3.50,14.73
2026-04-15,16-06-20,2240.222,42.0,-3.44,14.73
2026-04-15,16-06-20,2240.232,42.0,-3.50,14.73
2026-04-15,16-06-20,2240.242,42.0,-3.50,14.73
2026-04-15,16-06-20,2240.252,42.0,-3.44,14.73
2026-04-15,16-06-20,2240.262,42.0,-3.44,14.67
2026-04-15,16-06-20,2240.272,42.0,-3.38,14.67
2026-04-15,16-06-20,2240.282,42.0,-3.38,14.67
2026-04-15,16-06-20,2240.292,42.0,-3.38,14.67
2026-04-15,16-06-20,2240.302,42.0,-3.38,14.67
2026-04-15,16-06-20,2240.312,42.0,-3.38,14.67
2026-04-15,16-06-20,2240.322,42.0,-3.38,14.67
2026-04-15,16-06-20,2240.332,42.0,-3.38,14.67
2026-04-15,16-06-20,2240.342,42.0,-3.44,14.67
2026-04-15,16-06-20,2240.352,42.0,-3.31,14.67
2026-04-15,16-06-20,2240.362,42.0,-3.38,14.73
2026-04-15,16-06-20,2240.372,42.0,-3.31,14.73
